u_real,u_pred,MSE,Abs_Error
0.0,-0.13702583,0.01877607894493849,0.1370258331298828
0.0,-0.17354116,0.03011653367190892,0.17354115843772888
0.0,-0.20269556,0.0410854914364569,0.2026955634355545
0.0,-0.22604169,0.05109484539884712,0.22604168951511383
0.0,-0.23222008,0.05392616716918841,0.23222008347511292
0.0,-0.21115077,0.04458464573703225,0.21115076541900635
0.0,-0.18016815,0.03246056294301525,0.18016815185546875
0.0,-0.15303434,0.023419510540083843,0.15303434431552887
0.0,-0.13189301,0.017395765809191666,0.13189300894737244
0.0,-0.121985905,0.01488056098754248,0.12198590487241745
0.0,-0.120477535,0.01451483639885126,0.12047753483057022
0.0,-0.106108844,0.01125908683448884,0.10610884428024292
0.0,-0.08437535,0.0071191999689981245,0.08437535166740417
0.0,-0.07365836,0.005425554297087354,0.07365836203098297
0.0,-0.075139344,0.005645920977460861,0.07513934373855591
0.0,-0.091787174,0.008424885374067381,0.0917871743440628
0.0,-0.115126766,0.013254172310506684,0.11512676626443863
0.0,-0.13127989,0.017234408407492907,0.13127988576889038
0.0,-0.13135083,0.017253040593528945,0.1313508301973343
0.0,-0.117318675,0.013763671485451434,0.11731867492198944
0.0,-0.09544128,0.009109038270768366,0.09544128179550171
0.0,-0.08196892,0.006718903590670289,0.08196891844272614
0.0,-0.0902456,0.008144267789527204,0.09024559706449509
0.0,-0.11652387,0.01357781212495196,0.1165238693356514
0.0,-0.14963144,0.02238956802785097,0.14963144063949585
0.0,-0.18036199,0.03253044605168043,0.18036198616027832
0.0,-0.19843072,0.03937474944573083,0.19843071699142456
0.0,-0.2074828,0.04304911224922159,0.20748279988765717
0.0,-0.21697412,0.047077770621133164,0.21697412431240082
0.0,-0.22780608,0.051895608448149,0.22780607640743256
0.0,-0.24008459,0.05764060964850515,0.24008458852767944
0.0,-0.25031847,0.06265933523014056,0.2503184676170349
0.0,-0.25429785,0.06466739779433794,0.2542978525161743
0.0,-0.25066468,0.06283278239919898,0.25066468119621277
0.0,-0.23630022,0.05583779166816094,0.23630021512508392
0.0,-0.21374582,0.04568727451673049,0.2137458175420761
0.0,-0.18975273,0.03600609768741325,0.1897527277469635
0.0,-0.17416817,0.03033455126643858,0.1741681694984436
0.0,-0.1764494,0.031134391877909673,0.17644940316677094
0.0,-0.19576976,0.03832579776852274,0.1957697570323944
0.0,-0.21304289,0.04538727087685235,0.21304288506507874
0.0,-0.2115135,0.04473796253762452,0.21151350438594818
0.0,-0.19552396,0.03822961986418982,0.1955239623785019
0.0,-0.18242425,0.03327860599015153,0.18242424726486206
0.0,-0.1835589,0.03369386836827659,0.1835588961839676
0.0,-0.19746694,0.038993192269637156,0.19746693968772888
0.0,-0.2165402,0.04688965929806366,0.21654020249843597
0.0,-0.23280695,0.054199076344318975,0.2328069508075714
0.0,-0.24331455,0.05920196991415083,0.24331454932689667
0.0,-0.2405586,0.05786843737109937,0.24055859446525574
0.0,-0.22468431,0.05048304048115981,0.22468431293964386
0.0,-0.2001648,0.040065945126116276,0.200164794921875
0.0,-0.16783564,0.028168801358381623,0.16783563792705536
0.0,-0.15292978,0.023387518487879788,0.15292978286743164
0.0,-0.17143063,0.029388461749763062,0.17143063247203827
0.0,-0.2089637,0.043665830880554646,0.20896370708942413
0.0,-0.24232072,0.05871932958743642,0.242320716381073
0.0,-0.25749102,0.06630162659002625,0.25749102234840393
0.0,-0.2661749,0.07084908401920131,0.26617491245269775
0.0,-0.26824808,0.07195703307138501,0.2682480812072754
0.0,-0.27258718,0.07430377077538708,0.2725871801376343
0.0,-0.28722155,0.08249621932522189,0.2872215509414673
0.0,-0.29173252,0.08510786314680363,0.291732519865036
0.0,-0.27252865,0.07427186418590281,0.27252864837646484
0.0,-0.24173102,0.05843388498015489,0.24173101782798767
0.0,-0.21930015,0.04809255617216479,0.21930015087127686
0.0,-0.21164641,0.04479420195269146,0.2116464078426361
0.0,-0.21264398,0.04521746264698834,0.21264398097991943
0.0,-0.2190673,0.047990484262997235,0.2190673053264618
0.0,-0.23208262,0.05386234262818612,0.23208262026309967
0.0,-0.25248137,0.06374684278501608,0.2524813711643219
0.0,-0.2752652,0.07577092318794687,0.2752651870250702
0.0,-0.28541863,0.08146379414917249,0.28541862964630127
0.0,-0.27611712,0.07624066186569767,0.27611711621284485
0.0,-0.24859479,0.06179936996173385,0.24859479069709778
0.0,-0.21896583,0.047946034015101446,0.2189658284187317
0.0,-0.20473683,0.041917169068725,0.2047368288040161
0.0,-0.19886272,0.039546380035871076,0.1988627165555954
0.0,-0.19227251,0.036968719680197104,0.19227251410484314
0.0,-0.19127704,0.03658690680823917,0.19127704203128815
0.0,-0.19171959,0.03675640181001327,0.19171959161758423
0.0,-0.18136384,0.03289284098354295,0.18136383593082428
0.0,-0.16224281,0.026322730986185983,0.1622428148984909
0.0,-0.14591514,0.021291226838382693,0.14591513574123383
0.0,-0.14689434,0.021577945874483362,0.14689433574676514
0.0,-0.16492559,0.02720045028880258,0.16492559015750885
0.0,-0.18744835,0.035136884883194774,0.18744835257530212
0.0,-0.21202603,0.04495503732344108,0.21202602982521057
0.0,-0.23799925,0.056643640870186696,0.23799924552440643
0.0,-0.2666385,0.07109608305758375,0.26663848757743835
0.0,-0.29135028,0.08488498290461965,0.29135027527809143
0.0,-0.30303198,0.0918283815035501,0.3030319809913635
0.0,-0.29576373,0.08747618457670114,0.2957637310028076
0.0,-0.27159092,0.07376162690441479,0.271590918302536
0.0,-0.2454704,0.06025571954673126,0.24547040462493896
0.0,-0.21835983,0.04768101448213713,0.2183598279953003
